stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\patry\source\repos\podst_progr\Allegro_Hello\x64\Debug\allegro5.cfg r
system   D            wsystem.c:819  maybe_parent_dir                 [   0.00000] Also searching C:\Users\patry\source\repos\podst_progr\Allegro_Hello\x64\
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
dtor     D               dtor.c:196  _al_register_destructor          [   0.00133] added dtor for timer 000001E5DA1BD790, func 00007FFCEF37104B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00231] added dtor for bitmap 000001E5DA1DEAB0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00278] added dtor for bitmap 000001E5DA1BD880, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00578] added dtor for bitmap 000001E5DA212640, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00592] added dtor for sub_bitmap 000001E5DA245E90, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00596] added dtor for sub_bitmap 000001E5DA247090, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00598] added dtor for sub_bitmap 000001E5DA247280, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00601] added dtor for sub_bitmap 000001E5DA247470, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00603] added dtor for sub_bitmap 000001E5DA247660, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00605] added dtor for sub_bitmap 000001E5DA247850, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00608] added dtor for sub_bitmap 000001E5DA247A40, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00610] added dtor for sub_bitmap 000001E5DA247C30, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00612] added dtor for sub_bitmap 000001E5DA247E20, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00615] added dtor for sub_bitmap 000001E5DA248010, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00617] added dtor for sub_bitmap 000001E5DA248200, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00619] added dtor for sub_bitmap 000001E5DA2483F0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00622] added dtor for sub_bitmap 000001E5DA2485E0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00624] added dtor for sub_bitmap 000001E5DA2487D0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00627] added dtor for sub_bitmap 000001E5DA2495B0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00630] added dtor for sub_bitmap 000001E5DA2497A0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00632] added dtor for sub_bitmap 000001E5DA2491D0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00634] added dtor for sub_bitmap 000001E5DA248A10, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00644] added dtor for sub_bitmap 000001E5DA248C00, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00648] added dtor for sub_bitmap 000001E5DA248DF0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00650] added dtor for sub_bitmap 000001E5DA248FE0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00652] added dtor for sub_bitmap 000001E5DA2493C0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00656] added dtor for sub_bitmap 000001E5DA249C10, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00658] added dtor for sub_bitmap 000001E5DA24AB90, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00661] added dtor for sub_bitmap 000001E5DA249E00, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00663] added dtor for sub_bitmap 000001E5DA24AD80, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00665] added dtor for sub_bitmap 000001E5DA24B350, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00668] added dtor for sub_bitmap 000001E5DA24B730, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00670] added dtor for sub_bitmap 000001E5DA249A20, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00672] added dtor for sub_bitmap 000001E5DA24A3D0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00675] added dtor for sub_bitmap 000001E5DA249FF0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00677] added dtor for sub_bitmap 000001E5DA24A1E0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00680] added dtor for sub_bitmap 000001E5DA24A5C0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00682] added dtor for sub_bitmap 000001E5DA24A7B0, func 00007FFCEF371186
